search_id,database,platform,date,researcher,exact_search_string,filters,date_range,language_filters,results_returned,export_filename,notes
SEARCH_003,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),"""water connection"" OR ""sanitation access"" ""administrative burden"" OR ""legal recognition"" household study",none,none,none,7,SEARCH_003-008_WEBSEARCH_PILOT_2026-08-25.csv,"EXPLORATORY PILOT, NOT Phase 3. General web search via Claude's WebSearch tool, used because WebFetch and direct API calls to every tested Tier 1/legal database domain (Scopus/WoS/HeinOnline equivalents, PubMed, Google Scholar, CanLII, Rechtspraak.nl, SSRN) are blocked by this environment's network egress policy. Snippet-only recall, not reproducible the way a platform-native search is, no full-text access. Titles/URLs extracted from WebSearch's structured Links data only, never from its prose summary (which is itself an LLM paraphrase and may not preserve exact figures)."
SEARCH_004,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),"""land tenure"" water access eligibility informal settlement empirical study",none,none,none,8,SEARCH_003-008_WEBSEARCH_PILOT_2026-08-25.csv,See SEARCH_003 notes for method and caveats.
SEARCH_005,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),"""regularização fundiária"" ""abastecimento de água"" OR saneamento acesso estudo",none,none,Portuguese,9,SEARCH_003-008_WEBSEARCH_PILOT_2026-08-25.csv,See SEARCH_003 notes for method and caveats.
SEARCH_006,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),aansluitplicht drinkwater OR riolering bestuursrecht kwetsbare huishoudens,none,none,Dutch,8,(none — no candidate records met inclusion criterion 3; results were entirely primary legal/regulatory sources not empirical studies),"See SEARCH_003 notes for method and caveats. All 8 hits were municipal ordinances or government consultation documents (Aansluitverordening riolering, afsluitbeleid drinkwater, Staatscourant notices) — candidate primary legal sources for the doctrinal side of the dissertation, not for this review's empirical evidence base. Consistent with SEARCH_PROTOCOL.md §3's warning to distinguish formal legal requirements from empirical studies of their effect."
SEARCH_007,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),"Ontario ""water connection"" OR ""sewer connection"" First Nations administrative discretion access study",none,none,none,9,SEARCH_003-008_WEBSEARCH_PILOT_2026-08-25.csv,"See SEARCH_003 notes for method and caveats. Per SEARCH_PROTOCOL.md §3, First Nations and Ontario-municipal records were kept distinguishable at extraction and not automatically merged as one jurisdictional category."
SEARCH_008,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),documentation requirement water utility connection barrier low-income household empirical,none,none,none,6,SEARCH_003-008_WEBSEARCH_PILOT_2026-08-25.csv,See SEARCH_003 notes for method and caveats.
SEARCH_009,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),"backward citation search: papers citing Lubeck-Schricker et al. 2023 ""Divided infrastructure"" (Environment & Urbanization)",none,none,none,8,SEARCH_009-013_CITATION_GREYLIT_PILOT_2026-08-25.csv,"See SEARCH_003 notes for method/caveats. WebSearch has no true citation-graph capability (no Scopus/WoS-style 'cited by' index) -- this is a keyword search approximating a citation search, not a real backward citation search per SEARCH_PROTOCOL.md §5 step 5. 1 new on-topic candidate found (an earlier related Subbaraman-group paper); most other hits were the source paper itself or its author's profile pages."
SEARCH_010,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),"backward citation search: papers citing Gaikwad & Thomas 2026 ""Getting on the grid"" (AJPS)",none,none,none,7,(none -- 0 new candidates),"See SEARCH_009 notes on citation-search limitation. 0 new candidates -- all results were the source paper itself, event listings, or the author's own papers page. Too recent (2026) for a real citation index to have caught up regardless."
SEARCH_011,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),backward citation search: papers citing Halling & Baekgaard 2024 administrative burden systematic review (JPART),none,none,none,8,(none -- 0 in-scope candidates),"See SEARCH_009 notes on citation-search limitation. Found several real citing papers, but all are general administrative-burden theory/measurement literature (welfare programs, burden-tolerance instruments) with no water/sanitation service angle -- fail inclusion criterion 1 (INCLUSION_EXCLUSION.md). Deliberately not added to the screening database: illustrates the scope-discipline rule (PROJECT_SPEC.md §2), not a search failure."
SEARCH_012,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),World Bank OR UN-Habitat report legal barriers water sanitation connection eligibility informal settlements,none,none,none,5,SEARCH_009-013_CITATION_GREYLIT_PILOT_2026-08-25.csv,"See SEARCH_003 notes for method/caveats. 2 new on-topic candidates (a policy review and a Sao Paulo favela regularization study); 2 UN-Habitat primary policy/concept-paper PDFs excluded as not empirical studies (INCLUSION_EXCLUSION.md exclusion 1, doctrinal/normative without empirical access evidence)."
