record_id,title_abstract_decision,exclusion_reason,rationale
R205DDBDB40FB,include,,Examines legal status (notified vs unnotified) driving water access inequality in a Mumbai slum via household study.
R9E24EC349D72,include,,Field experiment on bureaucratic facilitation and political pressure affecting water connection access in Mumbai settlements.
R2C41FB775CF6,exclude,E01,Study of coastal ecosystem service value; no water/sanitation service access or legal/governance angle.
R0912E3546254,include,,Examines Ethiopian water utility governance/capacity and access/reliability outcomes via mixed-methods empirical study.
RF733A7CB879D,exclude,E06,Pure engineering study of a corona discharge water disinfection device; no access/governance content.
RE03B61A85901,exclude,E05,Conceptual book chapter on AI/ML for water management; no original empirical access evidence.
R902D3F2A2770,exclude,E03,"Cross-sectional WASH burden study driven by climate shocks/distance, not a legal or administrative exposure."
R276F8E4E295C,exclude,E01,Mathematical/neural-network modeling of cholera epidemics; no legal or access content.
RD68AEDDB676E,exclude,E05,Narrative/policy commentary on water and sanitation governance reforms without original empirical study.
R700199742CC6,include,,Examines fecal sludge management policy framework and regulatory gaps via empirical mixed-methods study in Laos.
R17A68C2E34F6,exclude,E01,Review of wastewater-based epidemiology methods for viral variant surveillance; unrelated to service access.
R7D89F8B3466D,exclude,E06,Geostatistical water-hardness estimation method; pure water-quality engineering study.
R1070B38261EF,unsure,,"Chapter analyzing Ghana urban water access inequities via governance/privatization lenses, but empirical method unclear from abstract."
R24152A8965A7,exclude,E04,Hydrological watershed reliability modeling; no legal/administrative or household access analysis.
RCF41C3EE87F4,exclude,E01,Qualitative study on access to newer antibiotics; not water or sanitation.
R6ED6084F5486,include,,Examines corruption and governance driving clean water/sanitation access in Bangkok via stakeholder interviews.
RC97D05CD240E,exclude,E05,Scoping review protocol only; no empirical findings reported yet.
R119AB4B8C208,exclude,E01,Governance of antimicrobial resistance in Senegal; not water/sanitation service access.
R89F918D912D8,exclude,E01,Industrial symbiosis/carbon strategy case study; not water/sanitation household access.
RB69FC6471B5E,exclude,E06,Machine-learning forecasting of N2O emissions at a WWTP; pure engineering.
R8D6E9518873E,exclude,E03,"Repeated cross-sectional survey of homeless basic-needs access driven by pandemic timing, not a legal/administrative exposure."
RCC860FBC7DD0,exclude,E01,Sentiment analysis of energy insecurity narratives; water only tangentially mentioned.
R4DC68FE0F0DC,include,,"Mixed-methods evaluation of rural aqueduct governance, regulatory compliance and access in Colombia."
REC23C6082BE6,exclude,E01,Machine-learning prediction of granular waste shear strength; unrelated to water/sanitation access.
R10DCAEC3F748,exclude,E01,Policy analysis of wildlife (swiftlet nest) trade governance; sanitation only tangential.
R01DD71C837EA,exclude,E01,"Techno-economic feasibility of household solar power; energy access, not water/sanitation."
R103C2A0F907F,include,,Qualitative case study of wastewater-reuse governance and unequal access under scarcity in Bolivia.
RFC4E511027D2,exclude,E01,Review of soil microbiology sampling protocols; unrelated.
RCF442816DF23,exclude,E06,Optimization of microgrid wastewater/desalination operations; pure engineering.
R8CEA97553141,include,,Mixed-methods cross-country study of legal frameworks/governance shaping equitable water access.
R8FB2617358FE,exclude,E06,Water-quality evaluation of river source and treatment plant compliance; no access/governance analysis.
RA8CE3571F745,exclude,E06,Technology review of membrane treatment for water reuse; no empirical access/governance study.
R15EF22174A64,include,,Mixed-methods study of sanitation workers' financial insecurity and its institutional link to service reliability in Tanzania.
R8C97FC532AC2,exclude,E01,Food-safety adoption study on smallholder dairy farms; not water/sanitation.
R0E4C0CE0DA80,include,,"Qualitative systems mapping of groundwater service governance and household coping in Mekong Delta, with survey/interview data."
R7E7395199865,include,,Empirical analysis of a legal/administrative clean-water subsidy program's targeting efficiency and affordability alignment.
R96730AA0B95E,include,,"Political-ecology study of governance and power shaping drinking-water access disparities, based on household surveys."
RF658E0A799E3,include,,Empirical expert-group study of governance/ESG decision-making for sanitation utility service delivery in Brazil.
R1E269FAEA4F4,exclude,E06,Materials-science electrode design for electroflotation water treatment; pure engineering.
R86D329BB23B5,exclude,E02,"Examines national/transboundary water security and geopolitics, not household or community service access."
R76B3ED6E3382,exclude,E07,"Study of health-care access barriers among sanitation workers; wrong service (healthcare, not water/sanitation)."
RABEE6DC96FF1,exclude,E01,"Corporate ESG/human-rights indicator framework; water/sanitation access is a minor cited statistic, not the focus."
R1B34F60D5F79,include,,Urban water security index study combining household survey data with governance/affordability outcomes in Addis Ababa basin.
R0806C5E6D586,include,,Mixed-methods study of institutional WASH facility management and access outcomes in Ghanaian schools.
R131093AB24CB,exclude,E01,"Narrative review on menstrual stigma/justice; WASH access is secondary, not primary focus, no fieldwork."
RB2EA4CC67CF0,exclude,E04,Satellite dam-level monitoring dataset paper; no governance/access analysis of household service.
RFAC5C025C756,exclude,E04,"Multi-regional assessment of climate-driven scarcity and public-health outcomes; outcome is disease burden, not access/connection/affordability."
R53A6FDF3E363,exclude,E04,DPSIR/system-dynamics wetland climate-adaptation model; no water/sanitation service access content.
R3E3041A3D444,include,,Household water insecurity survey (HWISE) across Namibian towns linking governance/institutional capacity to reliability/equity.
RE6A2DD28A55C,include,,"RCT of bill-payment reminders in context of utility disconnection policy/human-rights recognition, Nairobi water utility."
R0C01FB67B2A1,exclude,E01,Lab protein-purification protocol under biosafety regulations; unrelated to water/sanitation access.
R26FAF7E62714,exclude,E04,"AHP prioritization of wastewater mitigation strategies; outcome is strategy ranking, not access/connection/affordability."
RA05D3AF00122,include,,150-year historical/mixed-methods assessment of Tehran's water governance structure and service access/reliability.
R2395BBEECBDA,include,,Mixed-methods study of formal/informal water governance shaping unequal access in Khulna informal settlements.
RA3FA3B4AF956,exclude,E03,"Cross-sectional ethnic health-inequality survey; exposure is ethnicity, not a legal/administrative factor."
RC1C8A9094225,exclude,E01,"Broad smart-city service satisfaction survey; water is one minor component, no legal/governance focus."
R72484640CE59,exclude,E01,"Study of community empowerment against dengue; sanitation is a minor survey item, not the focus."
R61B0458ADB42,exclude,E03,Mixed-methods study of freshwater scarcity and livelihood coping; no legal/administrative exposure examined.
R05A82A08F0A4,exclude,E06,Hydrological/engineering modeling of rooftop rainwater harvesting; no access/governance analysis.
R60B5639F35EC,exclude,E05,Narrative review of global water-scarcity drivers; no empirical population/exposure/outcome.
RA2C15A972BC7,exclude,E01,"Scoping review of childhood malnutrition interventions; WASH is one of several sectors, not the focus."
R3A2D02001573,exclude,E07,"Evaluates industrial wastewater-disposal regulatory approval effectiveness; wrong service (industrial, not household)."
R843BE5D5C176,exclude,E05,Doctrinal/conceptual chapter on legal reform and digital governance for water rights; no empirical evidence reported.
REDAACBE44344,include,,Panel-data study of fiscal/administrative decentralization effects on municipal water and sewerage coverage in Colombia.
R441952AE11D2,include,,Community-engaged qualitative project documenting water-justice governance and access inequities in Cape Town.
R604E73D5AF27,exclude,E01,Conceptual health-systems framework proposal; sanitation committees mentioned only as one example.
R50C907E99BA5,unsure,,Systematic review of emergency WASH intervention effectiveness; unclear whether a legal/administrative/governance factor is examined as exposure.
R4714179F16C5,exclude,E01,Value-chain revitalization study of fish processing industry; sanitation is a minor compliance issue.
RDE592D874BF6,include,,Mixed-methods study of water governance/policy barriers to community water access and supply in Cameroon.
